100 2375
10 96 898
11 12 889
11 15 599
11 16 431
11 17 260
11 18 62
11 20 504
11 23 944
11 24 619
11 25 194
11 26 288
11 27 381
11 28 389
11 31 371
11 33 757
11 34 799
11 36 963
11 37 29
11 38 906
11 39 719
11 40 562
11 41 626
11 42 682
11 43 560
11 46 595
11 47 952
11 48 4
11 50 221
11 51 418
11 52 288
11 54 541
11 57 346
11 58 611
11 59 778
11 60 515
11 61 507
11 62 518
11 63 170
11 64 341
11 65 843
11 66 659
11 68 654
11 69 680
11 70 97
11 72 764
11 73 155
11 75 243
11 76 296
11 77 741
11 78 510
11 79 414
11 80 58
11 82 499
11 87 275
11 91 221
11 92 469
11 94 79
11 99 264
12 14 840
12 15 436
12 17 915
12 18 761
12 19 416
12 20 268
12 22 215
12 23 102
12 24 89
12 26 23
12 28 367
12 29 661
12 30 109
12 32 511
12 33 313
12 34 387
12 35 283
12 37 364
12 38 337
12 40 832
12 41 489
12 42 619
12 46 445
12 48 185
12 49 695
12 50 608
12 51 549
12 52 340
12 53 319
12 54 196
12 55 109
12 56 731
12 57 604
12 59 166
12 60 371
12 61 79
12 62 917
12 63 36
12 64 862
12 65 180
12 66 781
12 67 799
12 68 121
12 70 153
12 73 992
12 74 335
12 77 57
12 78 904
12 79 806
12 82 285
12 83 894
12 84 179
12 85 795
12 86 604
12 87 980
12 88 831
12 90 220
12 92 973
12 94 958
12 95 608
12 96 132
12 97 982
12 99 495
13 14 768
13 15 297
13 16 96
13 17 967
13 18 475
13 19 521
13 20 793
13 21 575
13 22 36
13 23 186
13 24 159
13 25 582
13 26 571
13 27 826
13 28 665
13 30 514
13 31 675
13 32 692
13 33 253
13 34 258
13 35 217
13 38 637
13 39 628
13 40 530
13 41 301
13 43 949
13 44 809
13 45 716
13 47 156
13 48 136
13 49 652
13 50 932
13 51 981
13 53 584
13 54 247
13 57 355
13 58 313
13 60 450
13 61 947
13 62 524
13 63 134
13 64 826
13 65 25
13 66 905
13 67 817
13 68 341
13 69 44
13 70 651
13 71 313
13 72 679
13 73 496
13 74 554
13 76 910
13 77 967
13 78 17
13 79 614
13 80 787
13 81 989
13 82 57
13 83 7
13 84 639
13 85 560
13 86 352
13 87 584
13 88 627
13 89 694
13 90 947
13 91 848
13 93 523
13 94 455
13 95 375
13 97 258
13 98 774
13 99 609
14 15 149
14 16 550
14 17 607
14 18 115
14 19 815
14 20 374
14 21 608
14 22 24
14 23 825
14 24 410
14 25 48
14 26 867
14 27 729
14 28 359
14 30 150
14 31 712
14 32 501
14 34 418
14 35 97
14 36 662
14 37 909
14 38 761
14 39 376
14 41 909
14 43 372
14 44 418
14 45 157
14 46 628
14 49 805
14 50 81
14 54 878
14 55 122
14 57 622
14 59 119
14 60 628
14 61 42
14 62 628
14 63 507
14 65 423
14 66 274
14 67 428
14 68 812
14 69 675
14 70 270
14 71 191
14 72 515
14 73 560
14 74 924
14 75 45
14 77 198
14 78 624
14 79 464
14 80 587
14 83 105
14 84 682
14 86 358
14 87 916
14 88 790
14 89 408
14 90 283
14 92 461
14 93 73
14 94 612
14 95 646
14 96 133
14 97 262
14 98 114
14 99 243
15 17 869
15 18 309
15 20 72
15 21 165
15 22 943
15 23 855
15 24 176
15 25 397
15 27 527
15 30 683
15 31 717
15 32 102
15 33 579
15 34 798
15 35 719
15 36 250
15 37 910
15 38 214
15 39 955
15 40 849
15 41 354
15 42 172
15 43 732
15 44 39
15 48 674
15 49 584
15 50 355
15 51 66
15 53 424
15 55 134
15 56 756
15 58 593
15 59 605
15 60 746
15 61 218
15 62 465
15 63 483
15 64 100
15 65 355
15 66 422
15 67 960
15 69 25
15 71 451
15 72 689
15 73 256
15 74 717
15 75 651
15 77 414
15 78 286
15 79 376
15 80 879
15 81 743
15 82 944
15 83 604
15 86 106
15 87 726
15 88 844
15 92 11
15 93 73
15 94 541
15 95 441
15 97 175
15 98 529
16 17 598
16 18 677
16 19 320
16 20 314
16 21 775
16 22 526
16 24 832
16 25 298
16 27 208
16 30 588
16 31 940
16 33 200
16 35 274
16 36 772
16 37 895
16 38 71
16 39 425
16 40 598
16 42 933
16 43 910
16 44 431
16 46 622
16 47 734
16 48 727
16 49 634
16 51 859
16 53 180
16 54 567
16 55 506
16 56 594
16 57 775
16 58 66
16 59 880
16 60 872
16 61 703
16 62 638
16 63 93
16 64 726
16 66 703
16 68 427
16 70 9
16 73 611
16 74 403
16 75 608
16 82 22
16 83 793
16 84 771
16 85 22
16 86 545
16 90 265
16 91 567
16 92 724
16 93 720
16 94 930
16 95 888
16 96 260
16 97 695
16 99 375
17 19 83
17 21 161
17 22 377
17 23 488
17 24 65
17 26 262
17 27 842
17 28 805
17 30 880
17 31 582
17 33 425
17 35 362
17 36 892
17 37 728
17 38 762
17 39 782
17 41 970
17 42 915
17 44 497
17 45 491
17 46 424
17 47 986
17 48 556
17 50 16
17 51 756
17 52 709
17 53 241
17 54 414
17 55 700
17 57 256
17 58 390
17 59 993
17 62 540
17 63 851
17 66 376
17 67 30
17 68 287
17 69 682
17 72 521
17 73 696
17 74 535
17 75 219
17 76 242
17 79 928
17 80 65
17 81 421
17 82 30
17 83 77
17 85 14
17 86 771
17 87 547
17 89 672
17 90 431
17 93 222
17 95 100
17 96 674
17 97 882
17 99 337
18 20 992
18 22 972
18 24 991
18 26 718
18 27 416
18 28 728
18 29 64
18 30 924
18 31 281
18 32 778
18 33 280
18 34 394
18 36 12
18 37 234
18 38 445
18 39 229
18 41 342
18 44 354
18 45 418
18 46 628
18 47 77
18 48 486
18 49 1
18 50 606
18 51 512
18 55 726
18 56 297
18 57 8
18 58 332
18 60 698
18 62 483
18 65 390
18 66 904
18 69 930
18 70 127
18 71 772
18 72 608
18 73 734
18 76 51
18 77 545
18 78 411
18 80 683
18 81 891
18 82 416
18 83 686
18 84 826
18 86 686
18 88 827
18 89 498
18 90 677
18 91 549
18 92 970
18 93 490
18 94 620
18 95 845
18 96 591
18 97 716
18 98 994
19 20 117
19 21 545
19 24 730
19 25 731
19 27 343
19 28 305
19 29 338
19 30 549
19 31 12
19 33 231
19 34 324
19 35 570
19 36 185
19 37 858
19 43 112
19 44 117
19 45 431
19 46 785
19 48 280
19 50 169
19 51 688
19 53 138
19 54 652
19 55 501
19 56 710
19 58 453
19 60 685
19 61 374
19 65 117
19 66 415
19 67 410
19 68 859
19 69 577
19 71 876
19 72 73
19 75 409
19 76 40
19 77 539
19 78 410
19 80 113
19 81 66
19 82 570
19 83 805
19 84 735
19 86 312
19 87 902
19 88 1
19 90 33
19 92 706
19 95 101
19 97 694
19 98 64
20 21 42
20 22 564
20 23 664
20 24 500
20 25 596
20 26 205
20 28 380
20 29 866
20 32 408
20 34 243
20 35 367
20 36 735
20 38 821
20 41 721
20 42 655
20 43 533
20 46 321
20 47 850
20 48 980
20 51 609
20 54 418
20 55 788
20 56 644
20 57 208
20 59 820
20 60 299
20 61 315
20 62 403
20 63 912
20 65 282
20 66 771
20 69 344
20 70 36
20 71 68
20 72 595
20 73 455
20 75 78
20 76 174
20 78 755
20 79 881
20 80 489
20 82 132
20 83 496
20 84 984
20 85 410
20 86 964
20 87 991
20 88 630
20 89 212
20 90 327
20 91 146
20 92 700
20 93 510
20 94 163
20 95 361
20 96 715
20 97 194
20 98 415
21 22 368
21 23 309
21 26 777
21 27 186
21 28 71
21 29 241
21 30 389
21 31 796
21 32 266
21 34 946
21 35 418
21 36 221
21 38 209
21 39 830
21 41 829
21 42 310
21 44 572
21 45 177
21 46 895
21 47 325
21 48 267
21 50 367
21 52 925
21 53 735
21 55 761
21 56 63
21 57 489
21 61 179
21 62 445
21 63 819
21 65 317
21 66 429
21 67 964
21 72 532
21 73 947
21 75 447
21 77 343
21 80 377
21 81 937
21 82 469
21 83 230
21 84 157
21 86 302
21 87 731
21 88 497
21 90 817
21 91 158
21 92 209
21 93 772
21 94 681
21 95 486
21 97 779
22 24 461
22 26 790
22 27 538
22 28 620
22 29 863
22 30 8
22 31 853
22 32 842
22 34 51
22 36 571
22 37 533
22 38 263
22 39 489
22 40 220
22 41 123
22 42 860
22 45 329
22 46 56
22 49 42
22 50 363
22 51 106
22 52 353
22 54 809
22 56 609
22 57 810
22 58 883
22 60 813
22 61 801
22 63 199
22 65 680
22 67 491
22 68 862
22 69 503
22 71 22
22 72 396
22 73 376
22 74 363
22 75 738
22 76 189
22 77 133
22 78 196
22 79 757
22 80 122
22 81 353
22 82 362
22 83 511
22 85 615
22 86 460
22 89 273
22 91 395
22 92 988
22 93 386
22 95 158
22 96 682
22 98 731
22 99 83
23 26 527
23 27 52
23 28 986
23 30 639
23 31 278
23 32 951
23 34 809
23 35 515
23 36 344
23 37 984
23 38 18
23 40 255
23 42 684
23 43 577
23 44 677
23 47 356
23 48 203
23 49 679
23 50 856
23 51 44
23 54 587
23 55 168
23 56 162
23 57 806
23 59 244
23 61 294
23 62 388
23 63 534
23 65 460
23 66 997
23 67 656
23 68 641
23 69 142
23 70 51
23 71 638
23 72 679
23 73 867
23 74 269
23 75 440
23 76 669
23 77 243
23 79 625
23 80 74
23 81 481
23 82 512
23 83 131
23 84 195
23 85 831
23 86 615
23 87 317
23 88 316
23 89 239
23 92 909
23 93 114
23 96 352
23 97 66
23 98 352
23 99 227
24 25 244
24 27 645
24 29 141
24 30 760
24 31 386
24 32 950
24 40 425
24 41 503
24 42 30
24 43 327
24 45 133
24 46 239
24 47 452
24 48 576
24 49 275
24 50 25
24 51 186
24 53 866
24 55 220
24 56 11
24 58 81
24 59 84
24 60 968
24 61 622
24 62 425
24 63 981
24 64 211
24 65 69
24 66 460
24 68 129
24 69 771
24 70 146
24 71 956
24 73 182
24 74 918
24 75 837
24 76 817
24 78 330
24 79 384
24 80 33
24 81 780
24 82 841
24 84 844
24 87 853
24 88 307
24 89 726
24 90 639
24 91 367
24 92 603
24 93 409
24 94 473
24 96 255
24 97 803
24 98 67
24 99 481
25 27 342
25 28 292
25 29 419
25 31 464
25 32 508
25 34 815
25 36 558
25 37 217
25 38 38
25 39 430
25 40 118
25 41 335
25 42 465
25 43 245
25 44 159
25 45 20
25 46 801
25 48 642
25 49 858
25 50 625
25 51 288
25 52 474
25 53 730
25 55 745
25 56 765
25 57 808
25 58 936
25 59 318
25 60 736
25 61 594
25 62 481
25 63 279
25 64 903
25 65 608
25 66 988
25 67 147
25 68 598
25 69 654
25 70 582
25 71 232
25 72 48
25 73 364
25 74 597
25 75 521
25 76 267
25 79 577
25 82 673
25 83 122
25 85 607
25 87 123
25 88 147
25 91 648
25 94 403
25 95 759
25 96 758
25 97 976
25 98 795
26 27 968
26 28 962
26 30 501
26 32 405
26 34 180
26 35 718
26 36 352
26 39 854
26 42 389
26 44 849
26 45 46
26 46 465
26 47 34
26 48 29
26 50 176
26 51 494
26 52 379
26 53 424
26 55 320
26 56 425
26 59 450
26 60 95
26 61 859
26 62 636
26 63 899
26 64 585
26 65 550
26 67 520
26 68 283
26 69 79
26 70 979
26 73 109
26 74 175
26 75 474
26 76 489
26 77 128
26 79 442
26 80 383
26 82 898
26 83 822
26 84 472
26 85 472
26 87 863
26 88 920
26 89 559
26 90 820
26 92 973
26 93 933
26 94 422
26 95 652
26 97 420
27 28 133
27 30 429
27 31 346
27 33 62
27 34 610
27 35 98
27 37 267
27 39 940
27 41 906
27 42 878
27 44 308
27 47 747
27 48 685
27 49 513
27 52 887
27 53 139
27 54 531
27 55 495
27 56 37
27 57 284
27 58 168
27 59 801
27 60 297
27 62 792
27 63 71
27 64 436
27 66 160
27 67 147
27 69 997
27 70 517
27 72 316
27 73 964
27 74 993
27 75 466
27 76 422
27 77 479
27 78 168
27 79 521
27 80 600
27 83 154
27 85 534
27 89 569
27 90 395
27 91 793
27 92 188
27 93 387
27 94 103
27 95 537
27 96 387
27 98 285
27 99 441
28 29 659
28 31 578
28 32 109
28 33 150
28 34 2
28 35 679
28 37 412
28 38 105
28 39 916
28 40 736
28 43 477
28 44 451
28 45 720
28 46 732
28 51 979
28 52 629
28 53 238
28 54 405
28 55 531
28 56 973
28 57 251
28 59 799
28 60 685
28 61 654
28 62 988
28 64 372
28 66 534
28 68 200
28 69 344
28 70 352
28 72 216
28 76 574
28 77 863
28 79 397
28 80 161
28 82 713
28 83 854
28 84 163
28 87 117
28 89 253
28 90 622
28 91 359
28 92 815
28 93 812
28 94 206
28 95 139
28 97 359
28 99 616
29 31 917
29 32 584
29 34 892
29 35 396
29 37 616
29 38 520
29 39 783
29 43 446
29 44 923
29 45 891
29 46 576
29 47 583
29 48 668
29 49 123
29 52 164
29 53 807
29 54 396
29 55 797
29 57 764
29 58 274
29 61 512
29 63 556
29 64 881
29 65 121
29 67 446
29 68 587
29 69 416
29 70 775
29 72 316
29 73 652
29 74 270
29 76 660
29 77 32
29 78 278
29 79 861
29 83 302
29 84 802
29 85 606
29 86 973
29 87 169
29 90 499
29 91 244
29 95 165
29 96 117
29 98 138
29 99 113
30 31 371
30 32 836
30 33 429
30 34 497
30 35 148
30 36 991
30 37 973
30 40 607
30 41 865
30 42 817
30 43 840
30 44 754
30 46 719
30 47 511
30 49 795
30 50 722
30 53 150
30 54 875
30 55 541
30 56 27
30 57 222
30 59 451
30 60 107
30 61 852
30 62 81
30 63 375
30 64 509
30 65 440
30 66 766
30 67 863
30 68 483
30 69 536
30 70 31
30 72 624
30 73 825
30 74 613
30 75 246
30 76 630
30 77 421
30 78 18
30 79 75
30 80 687
30 81 408
30 84 496
30 85 767
30 86 452
30 87 407
30 89 363
30 90 620
30 91 732
30 92 155
30 93 860
30 95 436
30 96 58
30 97 229
30 99 596
31 34 113
31 36 20
31 38 90
31 40 461
31 41 691
31 42 660
31 44 86
31 45 202
31 46 725
31 47 909
31 48 24
31 49 674
31 50 312
31 51 910
31 52 299
31 53 924
31 54 706
31 55 136
31 57 592
31 58 456
31 59 946
31 60 379
31 61 72
31 62 631
31 63 183
31 64 806
31 65 656
31 67 838
31 69 122
31 70 127
31 71 440
31 72 757
31 75 564
31 76 59
31 77 660
31 79 744
31 80 29
31 81 58
31 82 75
31 83 734
31 84 490
31 85 643
31 87 676
31 89 298
31 90 267
31 91 857
31 92 975
31 94 606
31 95 454
31 96 774
31 97 646
31 98 629
31 99 682
32 34 669
32 35 411
32 36 180
32 37 410
32 38 63
32 40 823
32 41 74
32 42 638
32 43 319
32 44 814
32 45 794
32 46 287
32 47 79
32 48 949
32 50 620
32 51 5
32 52 651
32 53 633
32 54 274
32 55 341
32 56 83
32 57 141
32 58 58
32 59 840
32 60 88
32 61 630
32 62 634
32 63 542
32 65 951
32 66 20
32 67 675
32 68 681
32 69 824
32 70 259
32 72 961
32 73 294
32 74 374
32 75 800
32 77 29
32 78 119
32 80 241
32 81 261
32 85 203
32 86 388
32 87 370
32 88 822
32 89 461
32 90 229
32 91 252
32 92 939
32 93 611
32 95 225
32 96 782
32 97 213
32 98 547
33 34 584
33 35 497
33 36 739
33 37 692
33 38 489
33 39 508
33 40 932
33 41 423
33 43 522
33 45 712
33 46 853
33 47 802
33 48 379
33 49 420
33 50 611
33 51 211
33 52 794
33 54 800
33 55 324
33 56 711
33 57 717
33 60 88
33 63 794
33 64 232
33 65 196
33 67 474
33 70 732
33 71 944
33 72 353
33 73 323
33 74 873
33 75 890
33 76 560
33 77 281
33 78 273
33 79 455
33 80 576
33 81 332
33 82 199
33 88 798
33 89 345
33 93 177
33 94 195
33 95 827
33 96 660
33 98 680
33 99 495
34 35 482
34 36 43
34 37 681
34 38 80
34 39 666
34 40 288
34 41 223
34 43 364
34 46 26
34 47 563
34 49 482
34 50 368
34 51 838
34 52 571
34 54 488
34 55 612
34 58 506
34 59 633
34 61 645
34 62 801
34 65 38
34 67 66
34 68 728
34 70 874
34 71 740
34 74 17
34 76 596
34 77 694
34 79 20
34 80 573
34 81 31
34 83 620
34 85 905
34 86 357
34 87 387
34 88 781
34 91 566
34 92 131
34 93 830
34 96 249
34 97 390
34 98 880
34 99 561
35 36 337
35 37 858
35 40 543
35 41 119
35 43 107
35 44 352
35 45 256
35 47 230
35 48 769
35 49 541
35 50 801
35 51 64
35 52 606
35 55 379
35 58 594
35 59 160
35 60 47
35 63 535
35 64 716
35 65 893
35 66 995
35 67 799
35 68 616
35 69 460
35 70 474
35 71 141
35 72 789
35 73 786
35 74 638
35 75 81
35 76 232
35 77 683
35 79 593
35 81 788
35 82 610
35 83 417
35 84 969
35 86 155
35 87 203
35 89 518
35 90 137
35 91 492
35 93 922
35 94 105
35 95 790
35 96 337
35 98 134
35 99 472
36 37 659
36 39 561
36 40 653
36 41 997
36 42 497
36 43 48
36 44 495
36 47 68
36 48 185
36 49 635
36 50 761
36 51 994
36 53 97
36 54 712
36 55 81
36 56 862
36 57 880
36 58 154
36 59 754
36 60 134
36 62 69
36 64 517
36 65 918
36 66 146
36 67 12
36 69 759
36 70 24
36 71 371
36 72 944
36 74 844
36 75 783
36 76 473
36 77 225
36 78 386
36 79 588
36 81 432
36 82 812
36 83 235
36 84 200
36 86 795
36 87 654
36 88 480
36 89 613
36 90 138
36 91 875
36 92 41
36 93 725
36 94 596
36 98 377
36 99 84
37 39 768
37 40 419
37 41 503
37 42 645
37 43 466
37 44 699
37 45 896
37 46 682
37 47 220
37 48 824
37 49 947
37 50 568
37 51 354
37 53 616
37 54 992
37 55 577
37 56 667
37 57 329
37 58 235
37 62 77
37 63 263
37 64 332
37 65 309
37 66 790
37 67 649
37 68 50
37 70 891
37 72 243
37 73 992
37 74 718
37 76 30
37 77 886
37 78 648
37 79 4
37 80 660
37 81 992
37 82 922
37 83 233
37 84 325
37 85 472
37 87 987
37 89 736
37 91 132
37 92 345
37 93 683
37 94 820
37 95 918
37 96 330
37 97 878
37 98 414
38 39 722
38 40 931
38 41 743
38 43 211
38 44 310
38 46 333
38 49 914
38 50 210
38 51 4
38 52 911
38 56 795
38 57 171
38 58 101
38 59 924
38 61 651
38 62 32
38 63 133
38 64 456
38 65 532
38 67 297
38 69 471
38 72 246
38 74 881
38 75 855
38 76 987
38 78 303
38 79 621
38 80 485
38 81 953
38 82 322
38 84 189
38 85 371
38 86 999
38 87 80
38 88 85
38 90 777
38 91 574
38 92 373
38 93 451
38 94 195
38 95 751
38 96 916
38 98 540
39 40 773
39 41 767
39 42 443
39 43 722
39 44 436
39 47 932
39 48 743
39 49 647
39 50 570
39 51 494
39 52 863
39 54 835
39 56 305
39 57 160
39 58 891
39 59 104
39 61 584
39 64 329
39 67 685
39 68 578
39 69 799
39 70 884
39 71 915
39 72 460
39 73 993
39 76 850
39 77 262
39 79 637
